"ID_DDJJ","AÑO_PRESENTACIÓN","NOMBRE","APELLIDO","ID_CARGO","CARGO","TOTAL_BIENES_MUEBLES","TOTAL_BIENES_INMUEBLES","TOTAL_ACCIONES","TOTAL_FONDOS","TOTAL_BONOS","TOTAL_TITULOS","TOTAL_DINERO_EFECTIVO","TOTAL_DINERO_ELECTRONICO","TOTAL_DEUDAS","FECHA_PRESENTACION"
20987,2023,Mauro Rodrigo,LESCANO,1,NO APLICA,0,0,0,0,0,0,10000,0,,2023-09-28 00:00:00.000
21417,2023,Matias Alfredo,KLEIN,2,ASESOR DE PLANTA DE GABINETE DE MINISTRO/ DE PROCURADOR GENERAL/ DE SÍNDICO GENERAL/DE PRESIDENTE DE COMUNA,414001,802500,0,1106000,0,0,15000,0,,2023-07-14 00:00:00.000
21553,2023,Laura Maria Estela,FURCI,1,NO APLICA,0,0,0,0,0,0,1000,0,,2023-03-09 00:00:00.000
21842,2023,Eduardo Ruben,AGO,5,CARGO SUPERIOR A COMISARIO,3880000,3265010,0,0,0,0,600000,0,,2023-06-01 00:00:00.000
21883,2023,Rocio Maria,FRAGA,9,"INTEGRANTE  DE COMISIÓN EVALUADORA O DE COMISIÓN QUE APRUEBA PLIEGOS, PREADJUDICA, ADJUDICA O REDETERMINA PRECIOS",0,0,0,0,0,0,4000000,0,,2023-06-06 00:00:00.000
22117,2023,Carolina Vanesa,ROMERO,1,NO APLICA,400000,0,0,0,0,0,501000,0,,2023-06-22 00:00:00.000
22882,2023,Eva Maria del Socorro,ALCORTA,6,DIRECTOR GENERAL O EQUIVALENTE DEL PODER EJECUTIVO (INCLUYE EMPRESAS y entes descentralizados),1800000,352057,0,0,0,0,500000,0,,2023-06-26 00:00:00.000
22826,2023,Matias Juan,KIELAK,6,DIRECTOR GENERAL O EQUIVALENTE DEL PODER EJECUTIVO (INCLUYE EMPRESAS y entes descentralizados),1747600,1145000,0,0,0,0,12383833,0,,2023-07-04 00:00:00.000
22153,2023,Pablo,VILLARREAL URALDE,1,NO APLICA,0,0,0,0,0,0,2600000,0,,2023-06-30 00:00:00.000
23764,2023,Jorge,MACRI,14,MINISTRO,5722000,556373,19958883,0,0,0,150000,0,,2023-06-29 00:00:00.000
23511,2023,Carlos Jose,RETEGUI,16,SECRETARIO,755000,642890,0,0,0,0,23419000,0,,2023-06-30 00:00:00.000
23121,2023,Guillermo Pablo,VASSALLO,5,CARGO SUPERIOR A COMISARIO,525000,323960,0,0,0,0,80000,0,,2023-07-20 00:00:00.000
23877,2023,Matias,SALA,6,DIRECTOR GENERAL O EQUIVALENTE DEL PODER EJECUTIVO (INCLUYE EMPRESAS y entes descentralizados),0,265800,0,0,0,0,3607500,0,,2023-06-07 00:00:00.000
23875,2023,Cintia Viviana,PEREIRA,9,"INTEGRANTE  DE COMISIÓN EVALUADORA O DE COMISIÓN QUE APRUEBA PLIEGOS, PREADJUDICA, ADJUDICA O REDETERMINA PRECIOS",63000,20000,0,0,0,0,100000,0,,2023-08-04 00:00:00.000
25725,2023,Ana Rita,SALLABERRY,7,DIRECTOR GENERAL/ DIRECTOR DE LA PROCURACIÓN GENERAL,1400000,0,0,0,0,0,5142,0,,2023-01-05 00:00:00.000
25807,2023,Federico Carlos,REBORA,1,NO APLICA,0,0,0,0,0,0,100000,0,,2023-01-04 00:00:00.000
26147,2023,Maria Belen,PREZZAVENTO,6,DIRECTOR GENERAL O EQUIVALENTE DEL PODER EJECUTIVO (INCLUYE EMPRESAS y entes descentralizados),3400000,64053370,0,0,0,0,500000,0,,2023-04-13 00:00:00.000
26562,2023,Delia Teresa Viviana,SISRO,6,DIRECTOR GENERAL O EQUIVALENTE DEL PODER EJECUTIVO (INCLUYE EMPRESAS y entes descentralizados),362500,354200,0,0,0,0,15200,0,,2023-03-29 00:00:00.000
26705,2023,Melina,WAJSBORT,6,DIRECTOR GENERAL O EQUIVALENTE DEL PODER EJECUTIVO (INCLUYE EMPRESAS y entes descentralizados),0,45400000,0,0,0,0,10000,0,,2023-03-30 00:00:00.000
25361,2023,Marco Roman,FIDALGO,1,NO APLICA,1400000,4,0,0,0,0,500000,0,,2023-01-02 00:00:00.000
26004,2023,Cesar Enrique,MENARDI,5,CARGO SUPERIOR A COMISARIO,1220000,218450,0,0,0,0,10916648,0,,2023-06-11 00:00:00.000
26367,2023,Delia Marisa,BIRCHER,16,SECRETARIO,600000,5089500,0,0,0,0,5624000,0,,2023-03-03 00:00:00.000
25462,2023,DANIEL EDUARDO,ROMERO SARCOS,9,"INTEGRANTE  DE COMISIÓN EVALUADORA O DE COMISIÓN QUE APRUEBA PLIEGOS, PREADJUDICA, ADJUDICA O REDETERMINA PRECIOS",0,0,0,0,0,0,250,0,,2023-01-08 00:00:00.000
26225,2023,Lucrecia,PANIZONI,18,SUBSECRETARIO,0,2965000,0,87800,0,0,1800,0,,2023-02-14 00:00:00.000
25884,2023,Eduardo Alberto,VALENTI,6,DIRECTOR GENERAL O EQUIVALENTE DEL PODER EJECUTIVO (INCLUYE EMPRESAS y entes descentralizados),600000,41881750,0,0,0,0,100000,0,,2023-01-20 00:00:00.000
25962,2023,Cristofer Alexis,LUKANCIC,9,"INTEGRANTE  DE COMISIÓN EVALUADORA O DE COMISIÓN QUE APRUEBA PLIEGOS, PREADJUDICA, ADJUDICA O REDETERMINA PRECIOS",680000,0,0,0,0,0,50000,0,,2023-05-15 00:00:00.000
25984,2023,Pablo Martin,FERNANDEZ,7,DIRECTOR GENERAL/ DIRECTOR DE LA PROCURACIÓN GENERAL,1496406,1,0,0,0,0,571875,0,,2023-02-08 00:00:00.000
26044,2023,Ana Clara,PERAZZO,6,DIRECTOR GENERAL O EQUIVALENTE DEL PODER EJECUTIVO (INCLUYE EMPRESAS y entes descentralizados),0,9376250,0,0,0,1063000,7284,0,,2023-01-24 00:00:00.000
26088,2023,Giselle Montserrat,WYBRANSKI,9,"INTEGRANTE  DE COMISIÓN EVALUADORA O DE COMISIÓN QUE APRUEBA PLIEGOS, PREADJUDICA, ADJUDICA O REDETERMINA PRECIOS",0,0,0,0,0,0,1500,0,,2023-01-30 00:00:00.000
26237,2023,Valeria Micaela,LISTA,2,ASESOR DE PLANTA DE GABINETE DE MINISTRO/ DE PROCURADOR GENERAL/ DE SÍNDICO GENERAL/DE PRESIDENTE DE COMUNA,595000,0,0,0,0,0,1000,0,,2023-02-20 00:00:00.000
26161,2023,Joaquin,MIRAMONT,6,DIRECTOR GENERAL O EQUIVALENTE DEL PODER EJECUTIVO (INCLUYE EMPRESAS y entes descentralizados),2430000,0,0,0,0,0,746000,0,,2023-02-02 00:00:00.000
26303,2023,Eduardo Mario,AGRA,8,GERENTE GENERAL Y SUBGERENTE GENERAL BANCO CIUDAD,2171982,1260000,0,734397,0,5708096,411089,0,,2023-02-24 00:00:00.000
26304,2023,Evangelina Soledad,SANCHEZ,1,NO APLICA,1600000,200000,0,0,0,0,200000,0,,2023-02-23 00:00:00.000
25124,2023,Diego Conrado,ESTEVEZ,3,AUDITOR,100000,16649673,0,0,0,0,1425079,24902,,2023-06-30 00:00:00.000
26447,2023,Augusto Jose,ARAOZ REYES,1,NO APLICA,3955000,1808200,0,0,0,0,9303750,0,,2023-03-09 00:00:00.000
26443,2023,Marcelo Claudio,BOUZAS,7,DIRECTOR GENERAL/ DIRECTOR DE LA PROCURACIÓN GENERAL,2750000,28415019,0,0,0,0,25807500,0,,2023-03-08 00:00:00.000
